x1	x2	rgb
0.467364246967226	-1.367857804239667	(0.8968572209414426, 0.5557653889983871, 1.0)
0.4601244158715552	-1.3631907024025272	(0.8938426573388364, 0.5585398531311375, 1.0)
0.45940391826189353	-1.3816498005443896	(0.8821528069314436, 0.5605426668359027, 1.0)
0.4441570303585094	-1.3717969960538776	(0.875751247612251, 0.5662679302397366, 1.0)
0.4424670242624635	-1.3281667825356025	(0.9003235835153093, 0.5631069921216375, 1.0)
0.48165796651835524	-1.3677952050005036	(0.9082319373631342, 0.5493480301239027, 1.0)
0.48806481056406387	-1.3441968901981853	(0.9267010015716184, 0.5442253900653963, 1.0)
0.47443557005164977	-1.372718180359733	(0.8996170815604129, 0.5530596559318615, 1.0)
0.46585661305862885	-1.3405669707612675	(0.9115415011031335, 0.5539417697669738, 1.0)
0.4537843805554376	-1.3611189623507387	(0.8899977637300431, 0.5611317828114143, 1.0)
0.4577871352604701	-1.3128088865525176	(0.9209159839713157, 0.5550294596138001, 1.0)
0.4448960677131124	-1.3787267148141753	(0.8720906966674357, 0.5665743198717116, 1.0)
0.47531749209518165	-1.3607986213570757	(0.9073054449592632, 0.5515601590367657, 1.0)
0.4720125102764986	-1.3819539408118442	(0.8921682732399876, 0.5549991956320689, 1.0)
0.4664739461795742	-1.3450488549304471	(0.9094575292365671, 0.5540744041732861, 1.0)
0.48277620872745053	-1.3589132437558176	(0.9142500832207173, 0.548012847870359, 1.0)
0.45187939550718714	-1.367984773873834	(0.8843447564290853, 0.5625832724630151, 1.0)
0.4559887343565676	-1.350299898988642	(0.8981488440599447, 0.5591888163604419, 1.0)
0.4545958034816567	-1.3502248783304256	(0.8970872527110456, 0.5597929502449597, 1.0)
0.4718856837265519	-1.3737466004667804	(0.896972934764239, 0.5542952191521531, 1.0)
0.4731952080544415	-1.3262541346738124	(0.9252808287923843, 0.5493461226049062, 1.0)
0.4701159260998731	-1.3737431591071896	(0.895559909686808, 0.5550839027682688, 1.0)
0.4752961297590177	-1.3721164723987491	(0.9006578706029946, 0.5526180273141736, 1.0)
0.4536076855451429	-1.352363525580794	(0.89504470233222, 0.5604183597928832, 1.0)
0.46983963383644867	-1.3816278342406123	(0.8906146712123602, 0.5559359362565708, 1.0)
0.4875923643359113	-1.328011702185293	(0.9353056507915256, 0.5429396516351889, 1.0)
